name,type,label,values,missingformat,missingValue1,missingValue2,missingValue3,width,decimals,measurelevel,role,attributes,dw_konstruct,dw_measocc,dw_instrument,dw_itemtext,dw_filtervariable
"CASEID","Numeric","ICPSR Sequential record identifier",,"No missing values",,,,5,0,"Metric","Input",,,,,,
"N2","String","Store ID",,"No missing values",,,,15,0,"Nominal","Input",,,,,,
"Q1","String","Q1. Please enter today's date (mm/dd/yy)",,"No missing values",,,,33,0,"Nominal","Input",,,,,,
"Q2","Numeric","Q2. Are you male or female","{1=Female}{2=Male}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q3","Numeric","Q3. What is your age?",,"No missing values",,,,2,0,"Metric","Input",,,,,,
"Q4","Numeric","Q4. How do you describe yourself? Race/Ethnicity (Check all that apply)","{1=Latino/Latina}{2=Black, African American}{3=White}{4=Asian or Asian American}{5=Pacific Islander}{6=American Indian or Alaska Native}{7=Some other race or ethnicity}{12=Latino/Latina and Black, African American}{13=Latino/Latina and White}{16=Latino/Latina and American Indian or Alaska Native}{17=Latino/Latina and some other race or ethnicity}{23=Black, African American and White}{24=Black, African American and Asian or Asian American}{25=Black, African American and Pacific Islander}{26=Black, African American and American Indian or Alaska Native}{27=Black, African American and some other race or ethnicity}{34=White and Asian or Asian American}{36=White and American Indian or Alaska Native}{37=White and some other race or ethnicity}{47=Asian or Asian American and some other race or ethnicity}{56=Pacific Islander and American Indian or Alaska Native}{123=Latino/Latina, Black, African American, and White}{126=Latino/Latina, Black, African American, and American Indian or Alaska Native}{127=Latino/Latina, Black, African American, and Some other race or ethnicity}{236=Black, African American, White, and American Indian or Alaska Native}{245=Black, African American, Asian or Asian American, and Pacific Islander}{2367=Black, African American, White, American Indian or Alaska Native, and some other race or ethnicity}{1234567=All options selected}","No missing values",,,,7,0,"Nominal","Input",,,,,,
"Q5","Numeric","Q5. What is your highest level of education? (Check one)","{1=Associate's degree or technical school certificate}{2=Bachelor's degree}{3=High school diploma or GED}{4=Less than a high school diploma}{5=Some college or technical school}{6=Some graduate school or graduate degree}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q6","Numeric","Q6. Are you currently working for pay at a full-time job or are you not working for pay","{1=Yes, working}{2=No, not working for pay}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q7","Numeric","Q7. Are you (Marital Status)","{1=Married}{2=Divorced}{3=Living with partner}{4=Separated}{5=Widowed}{6=Never married}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q8","Numeric","Q8. What was your household income last year? (Check one)","{1=Below $10,000}{2=From $10,000 to $19,999}{3=From $20,000 to $34,999}{4=From $35,000 to $49,999}{5=From $50,000 to $74,999}{6=$75,000 or over}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q9","Numeric","Q9. How often do you visit this store or restaurant?","{1=Almost every day (5-7 x/week)}{2=A few days per week (2-4 x/week)}{3=About once a week}{4=Occasionally (1-3x per month)}{5=Seldom (less than once a month)}{6=Rarely (a few times a year or less)}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q10","Numeric","Q10. Yesterday, how much regular soda did you drink?","{1=I did not drink regular soda yesterday}{2=1 can or less (1 cup=8oz, 1 can=12 oz)}{3=2 cans (about one 20-oz bottle or 2.5 cups)}{4=3 cans (about two 20-oz bottles or 4.5 cups)}{5=4 or more cans (48 oz or more)}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q11","Numeric","Q11. Yesterday, how much diet soda did you drink?","{1=I did not drink diet soda yesterday}{2=1 can or less (1 cup=8oz, 1 can=12 oz)}{3=2 cans (about one 20-oz bottle or 2.5 cups)}{4=3 cans (about two 20-oz bottles or 4.5 cups)}{5=4 or more cans (48 oz or more)}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q12","Numeric","Q12. Yesterday, how many sports or energy drinks did you drink?","{1=I did not drink sports or energy drinks yesterday}{2=1 can or less (1 cup=8oz, 1 can=12 oz)}{3=2 cans (about one 20-oz bottle or 2.5 cups)}{4=3 cans (about two 20-oz bottles or 4.5 cups)}{5=4 or more cans (48 oz or more)}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q13","Numeric","Q13. Yesterday, how much 100% fruit juice, like orange or apple juice, did you drink?","{1=I did not drink 100% fruit juice yesterday}{2=1 can or less (1 cup=8oz, 1 can=12 oz)}{3=2 cans (about one 20-oz bottle or 2.5 cups)}{4=3 cans (about two 20-oz bottles or 4.5 cups)}{5=4 or more cans (48 oz or more)}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q14","Numeric","Q14. Yesterday, how many sweetened fruit-flavored drinks, sweetened tea drinks, or sweetened coofie drinks did you drink?","{1=I did not drink sweetened fruit flavored, tea or coffee drinks yesterday}{2=1 can or less (1 cup=8oz, 1 can=12 oz)}{3=2 cans (about one 20-oz bottle or 2.5 cups)}{4=3 cans (about two 20-oz bottles or 4.5 cups)}{5=4 or more cans (48 oz or more)}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q15","Numeric","Q15. Yesterday, how much tap water did you drink?","{1=I did not drink tap water yesterday}{2=A few sips}{3=1 cup (8 oz)}{4=2 cups}{5=3 cups}{6=4 or more cups}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q16","Numeric","Q16. Yesterday, how much bottled water like Aquafina, did you drink?","{1=I did not drink bottled water yesterday}{2=Less than 1 bottle (a sip or a few sips)}{3=1 bottle (about 16-20 oz)}{4=2 bottles}{5=3 bottles}{6=4 or more bottles}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q17","Numeric","Q17. How often do you usually drink sugary drinks?","{1=Every day}{2=A few times a week}{3=Once a week}{4=Twice a month}{5=Once a month}{6=Less than once a month}{7=Never}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q18","Numeric","Q18. How important is a large portion when you are deciding whether to buy a beverage?","{1=Not at all Important}{3=Somewhat Important}{5=Very Important}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q19","Numeric","Q19. How important is a low price when you are deciding whether to buy a beverage?","{1=Not at all Important}{3=Somewhat Important}{5=Very Important}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q20","Numeric","Q20. How important is it that a beverage is low in calorie when you are deciding whether to buy it?","{1=Not at all Important}{3=Somewhat Important}{5=Very Important}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q21","Numeric","Q21. Do you believe Drinking tap water is (bad to good for health)","{1=Bad for health}{4=Neither}{7=Good for health}","No missing values",,,,1,0,"Metric","Input",,,,,,
"Q22","Numeric","Q22. Do you believe Drinking bottled water is (bad to good for health)","{1=Bad for health}{4=Neither}{7=Good for health}","No missing values",,,,1,0,"Metric","Input",,,,,,
"Q23","Numeric","Q23. About how much of your own money do you spend per week on sugary drinks? (filler)",,"No missing values",,,,1,0,"Metric","Input",,,,,,
"Q23C","Numeric","Q23c.About how much of your own money do you spend per week on sugary drinks? (Dollars)",,"No missing values",,,,7,2,"Metric","Input",,,,,,
"Q24","Numeric","Q24. Are there any rules in your house limiting the amount of sugary drinks that you are allowed to have each day?","{1=Yes}{2=No}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q25A","String","Q25a. Yesterday, about how many servings of: Salty snacks",,"No missing values",,,,6,0,"Nominal","Input",,,,,,
"Q25B","String","Q25b. Yesterday, about how many servings of: Cookies",,"No missing values",,,,9,0,"Nominal","Input",,,,,,
"Q25C","String","Q25c. Yesterday, about how many servings of: Candy",,"No missing values",,,,9,0,"Nominal","Input",,,,,,
"Q25D","String","Q25d. Yesterday, about how many servings of: Fruit",,"No missing values",,,,9,0,"Nominal","Input",,,,,,
"Q25E","String","Q25e. Yesterday, about how many servings of: Dark green vegetables",,"No missing values",,,,9,0,"Nominal","Input",,,,,,
"Q26","Numeric","Q26. How many days per week do you do moderate activities for at least 10 minutes at a time?",,"No missing values",,,,5,1,"Metric","Input",,,,,,
"Q27","Numeric","Q27. How many days per week do you do vigorous activities for at least 10 minutes at a time?",,"No missing values",,,,3,0,"Metric","Input",,,,,,
"Q28","Numeric","Q28. How much do you weigh without your shoes on? (estimate in pounds) (filler)",,"No missing values",,,,1,0,"Metric","Input",,,,,,
"Q28A","Numeric","Q28. How much do you weigh without your shoes on? (estimate in pounds) (pounds)",,"No missing values",,,,5,1,"Metric","Input",,,,,,
"Q29","Numeric","Q29. How tall are you without your shoes on? (filler)",,"No missing values",,,,1,0,"Metric","Input",,,,,,
"Q29A","Numeric","Q29a. How tall are you without your shoes on? (Feet)",,"No missing values",,,,3,0,"Metric","Input",,,,,,
"Q29B","Numeric","Q29b. How tall are you without your shoes on? (Inches)",,"No missing values",,,,3,0,"Metric","Input",,,,,,
"Q30A","Numeric","Q30a. Did you purchase today?  Soda","{1=Yes}{2=No}","No missing values",,,,1,0,"Nominal","Input",,,,,,
