name,type,label,values,missingformat,missingValue1,missingValue2,missingValue3,width,decimals,measurelevel,role,attributes,dw_konstruct,dw_measocc,dw_instrument,dw_itemtext,dw_filtervariable
"id","Numeric",,,"No missing values",,,,3,0,"Metric","Input",,,,,,
"sex","Numeric","sex","{1=MALES}{2=FEMALES}","No missing values",,,,3,0,"Nominal","Input",,,,,,
"age","Numeric",,,"No missing values",,,,3,0,"Metric","Input",,,,,,
"marital","Numeric","marital status","{1=SINGLE}{2=STEADY RELATIONSHIP}{3=LIVING WITH PARTNER}{4=MARRIED FIRST TIME}{5=REMARRIED}{6=SEPARATED}{7=DIVORCED}{8=WIDOWED}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"child","Numeric","child","{1=YES}{2=NO}","No missing values",,,,5,0,"Nominal","Input",,,,,,
"educ","Numeric","highest educ completed","{1=PRIMARY}{2=SOME SECONDARY}{3=COMPLETED HIGHSCHOOL}{4=SOME ADDITIONAL TRAINING}{5=COMPLETED UNDERGRADUATE}{6=POSTGRADUATE COMPLETED}","No missing values",,,,5,0,"Ordinal","Input",,,,,,
"source","Numeric","source of stress","{1=WORK}{2=SPOUSE OR PARTNER}{3=RELATIONSHIPS}{4=CHILDREN}{5=FAMILY}{6=HEALTH/ILLNESS}{7=LIFE IN GENERAL}{8=MONEY/FINANCES}{9=TIME (lack of time, too much to do)}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"smoke","Numeric","smoker","{1=YES}{2=NO}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"smokenum","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"op1","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"op2","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"op3","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"op4","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"op5","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"op6","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"mast1","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"mast2","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"mast3","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"mast4","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"mast5","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"mast6","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"mast7","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn1","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn2","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn3","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn4","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn5","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn6","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn7","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn8","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn9","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn10","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn11","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn12","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn13","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn14","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn15","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn16","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn17","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn18","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn19","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pn20","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"lifsat1","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"lifsat2","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"lifsat3","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"lifsat4","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"lifsat5","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pss1","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pss2","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pss3","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pss4","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pss5","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pss6","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pss7","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pss8","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pss9","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"pss10","Numeric",,,"No missing values",,,,6,0,"Metric","Input",,,,,,
"sest1","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"sest2","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"sest3","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"sest4","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"sest5","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"sest6","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"sest7","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"sest8","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"sest9","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"sest10","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"m1","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"m2","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"m3","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"m4","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"m5","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"m6","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"m7","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"m8","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"m9","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"m10","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc1","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc2","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc3","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc4","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc5","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc6","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc7","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc8","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc9","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc10","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc11","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc12","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc13","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc14","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc15","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc16","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc17","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"pc18","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"Rop2","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"Rop4","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"Rop6","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"Rmast1","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"Rmast3","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"Rmast4","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"Rmast6","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"Rmast7","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
