name,type,label,values,missingformat,missingValue1,missingValue2,missingValue3,width,decimals,measurelevel,role,attributes,dw_konstruct,dw_measocc,dw_instrument,dw_itemtext,dw_filtervariable
"pp","Numeric","participant",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"Version","Numeric",,,"No missing values",,,,8,0,"Nominal","Input",,,,,,
"Gender","Numeric",,"{1=women}{2=men}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"age","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"handness","Numeric",,"{1=right}{2=left}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"education","Numeric",,"{1=no educational qualification}{2=intermediate school-leaving certificate (Realschule)}{3=advanced technical college entrance qualification (Fachhochschulreife)}{4=subject-related entrance qualification (Fachabitur)}{5=general qualification for university entrance}{6=Bachelor}{7=master}{8=PhD}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"profession","String",,,"No missing values",,,,20,0,"Nominal","Input",,,,,,
"hearing","Numeric",,"{0=intact}{1=impaired without correction}{2=impaired with correction}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"seeing","Numeric",,"{0=intact}{1=impaired with correction}{2=impaired without correction}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"RT1_CRK","Numeric","task-pair repetition and cue repetition short for RT in T1",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"RT1_CRL","Numeric","task-pair repetition and cue repetition long for RT in T1",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"RT1_CSK","Numeric","task-pair repetition and cue switch short for RT in T1",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"RT1_CSL","Numeric","task-pair repetition and cue switch long for RT in T1",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"RT1_TSK","Numeric","task-pair switch and cue switch short for RT in T1",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"RT1_TSL","Numeric","task-pair switch and cue switch long for RT in T1",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"E1_CRK","Numeric","task-pair repetition and cue repetition short for errors in T1",,"No missing values",,,,8,3,"Metric","Input",,,,,,
"E1_CRL","Numeric","task-pair repetition and cue repetition long for errors in T1",,"No missing values",,,,8,3,"Metric","Input",,,,,,
"E1_CSK","Numeric","task-pair repetition and cue switch short for errors in T1",,"No missing values",,,,8,3,"Metric","Input",,,,,,
"E1_CSL","Numeric","task-pair repetition and cue switch long for errors in T1",,"No missing values",,,,8,3,"Metric","Input",,,,,,
"E1_TSK","Numeric","task-pair switch and cue switch short for errors in T1",,"No missing values",,,,8,3,"Metric","Input",,,,,,
"E1_TSL","Numeric","task-pair switch and cue switch long for errors in T1",,"No missing values",,,,8,3,"Metric","Input",,,,,,
"RT2_CRK","Numeric","task-pair repetition and cue repetition short for RT in T2",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"RT2_CRL","Numeric","task-pair repetition and cue repetition long for RT in T2",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"RT2_CSK","Numeric","task-pair repetition and cue switch short for RT in T2",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"RT2_CSL","Numeric","task-pair repetition and cue switch long for RT in T2",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"RT2_TSK","Numeric","task-pair switch and cue switch short for RT in T2",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"RT2_TSL","Numeric","task-pair switch and cue switch long for RT in T2",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"E2_CRK","Numeric","task-pair repetition and cue repetition short for errors in T2",,"No missing values",,,,8,3,"Metric","Input",,,,,,
"E2_CRL","Numeric","task-pair repetition and cue repetition long for errors in T2",,"No missing values",,,,8,3,"Metric","Input",,,,,,
"E2_CSK","Numeric","task-pair repetition and cue switch short for errors in T2",,"No missing values",,,,8,3,"Metric","Input",,,,,,
"E2_CSL","Numeric","task-pair repetition and cue switch long for errors in T2",,"No missing values",,,,8,3,"Metric","Input",,,,,,
"E2_TSK","Numeric","task-pair switch and cue switch short for errors in T2",,"No missing values",,,,8,3,"Metric","Input",,,,,,
"E2_TSL","Numeric","task-pair switch and cue switch long for errors in T2",,"No missing values",,,,8,3,"Metric","Input",,,,,,
