pp,Version,Gender,age,handness,education,profession,hearing,seeing,RT1_CRK,RT1_CRL,RT1_CSK,RT1_CSL,RT1_TSK,RT1_TSL,E1_CRK,E1_CRL,E1_CSK,E1_CSL,E1_TSK,E1_TSL,RT2_CRK,RT2_CRL,RT2_CSK,RT2_CSL,RT2_TSK,RT2_TSL,E2_CRK,E2_CRL,E2_CSK,E2_CSL,E2_TSK,E2_TSL
1.0,1.0,1.0,18.0,1.0,5.0,"student_psychology",0.0,0.0,727.0,557.0,1120.0,875.0,741.0,813.0,0.068,0.023,0.106,0.14,0.111,0.089,1363.0,756.0,2039.0,1077.0,1651.0,1124.0,0.067,0.103,0.174,0.089,0.326,0.024
2.0,2.0,1.0,22.0,1.0,5.0,"student_psychology",0.0,0.0,511.0,393.0,599.0,488.0,528.0,441.0,0.043,0.021,0.044,0.0,0.064,0.043,1049.0,427.0,1148.0,477.0,1034.0,455.0,0.023,0.043,0.045,0.022,0.065,0.042
3.0,3.0,1.0,18.0,1.0,5.0,"student_psychology",0.0,0.0,1083.0,966.0,1082.0,1084.0,1284.0,987.0,0.109,0.149,0.095,0.085,0.111,0.077,3381.0,2763.0,3287.0,2684.0,3608.0,3000.0,0.089,0.174,0.174,0.089,0.093,0.049
4.0,4.0,1.0,19.0,1.0,5.0,"student_psychology",0.0,0.0,995.0,1192.0,1246.0,1280.0,1214.0,1312.0,0.021,0.065,0.0,0.128,0.0,0.043,1556.0,1188.0,2101.0,1569.0,2060.0,1687.0,0.125,0.163,0.19,0.15,0.167,0.267
5.0,1.0,1.0,19.0,1.0,5.0,"student_psychology",0.0,1.0,504.0,461.0,528.0,423.0,579.0,453.0,0.061,0.021,0.022,0.022,0.0,0.064,1143.0,493.0,1198.0,532.0,1251.0,533.0,0.068,0.044,0.021,0.067,0.085,0.089
6.0,2.0,1.0,19.0,1.0,5.0,"student_psychology",0.0,0.0,1373.0,1493.0,1576.0,1661.0,1648.0,1502.0,0.064,0.043,0.043,0.065,0.0,0.021,1753.0,1298.0,2066.0,1583.0,2289.0,1421.0,0.159,0.171,0.175,0.22,0.214,0.152
7.0,3.0,1.0,20.0,2.0,5.0,"student_psychology",0.0,0.0,1002.0,1480.0,1395.0,1593.0,1714.0,1892.0,0.136,0.128,0.022,0.0,0.087,0.048,1396.0,1510.0,1965.0,1604.0,2101.0,1829.0,0.07,0.089,0.116,0.175,0.19,0.275
8.0,4.0,1.0,24.0,1.0,5.0,"student_psychology",0.0,0.0,1805.0,2124.0,1978.0,2367.0,2288.0,2611.0,0.0,0.021,0.0,0.0,0.021,0.0,2407.0,2071.0,2629.0,2230.0,3147.0,2627.0,0.063,0.0,0.0,0.021,0.043,0.0
9.0,1.0,2.0,21.0,1.0,5.0,"student_psychology",0.0,0.0,620.0,583.0,817.0,645.0,805.0,627.0,0.0,0.0,0.022,0.083,0.0,0.085,1198.0,724.0,1394.0,766.0,1548.0,815.0,0.114,0.114,0.048,0.133,0.119,0.089
10.0,2.0,2.0,20.0,1.0,5.0,"student_psychology",0.0,1.0,2046.0,2500.0,2660.0,2940.0,2899.0,3410.0,0.02,0.0,0.021,0.0,0.0,0.0,2324.0,2074.0,3045.0,2659.0,3364.0,3091.0,0.091,0.0,0.133,0.047,0.209,0.128
11.0,3.0,1.0,18.0,1.0,5.0,"student_psychology",0.0,0.0,461.0,412.0,527.0,419.0,550.0,513.0,0.083,0.0,0.087,0.047,0.064,0.043,814.0,396.0,902.0,438.0,1064.0,497.0,0.128,0.136,0.048,0.085,0.065,0.091
12.0,4.0,1.0,26.0,1.0,5.0,"student_psychology",0.0,1.0,431.0,460.0,618.0,487.0,644.0,641.0,0.0,0.047,0.091,0.044,0.17,0.021,805.0,409.0,1023.0,472.0,970.0,588.0,0.114,0.15,0.143,0.146,0.209,0.182
13.0,1.0,1.0,20.0,1.0,5.0,"student_psychology",0.0,1.0,853.0,804.0,1050.0,838.0,910.0,813.0,0.021,0.043,0.0,0.064,0.021,0.067,3006.0,2300.0,2947.0,2336.0,3081.0,2550.0,0.043,0.045,0.065,0.043,0.114,0.085
