name,type,label,values,missingformat,missingValue1,missingValue2,missingValue3,width,decimals,measurelevel,role,attributes,dw_konstruct,dw_measocc,dw_instrument,dw_itemtext,dw_filtervariable
"CASEID","Numeric","ICPSR Sequential record identifier",,"No missing values",,,,4,0,"Metric","Input",,,,,,
"N1","String","Store ID",,"No missing values",,,,15,0,"Nominal","Input",,,,,,
"Q1","String","Q1. Please enter today's date (mm/dd/yy)",,"No missing values",,,,33,0,"Nominal","Input",,,,,,
"Q2","Numeric","Q2. Are you male or female","{1=Male}{2=Female}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q3","Numeric","Q3. What is your age?",,"No missing values",,,,2,0,"Metric","Input",,,,,,
"Q4","Numeric","Q4. How do you describe yourself? (Check all that apply)","{1=Latino/Latina}{2=Black, African American}{3=White}{4=Asian or Asian American}{5=Pacific Islander}{6=American Indian or Alaska Native}{7=Some other race or ethnicity}{12=Latino/Latina and Black, African American}{13=Latino/Latina and White}{23=Black, African American and White}{25=Black, African American and Pacific Islander}{26=Black, African American and American Indian or Alaska Native}{27=Black, African American and some other race or ethnicity}{35=White and Pacific Islander}{36=White and American Indian or Alaska Native}{37=White and some other race or ethnicity}{236=Black, African American, White, and American Indian or Alaska Native}{1236=Latino/Latina, Black, African American, White, and American Indian or Alaska Native}{2367=Black, African American, White, American Indian or Alaska Native, and some other race or ethnicity}","No missing values",,,,4,0,"Nominal","Input",,,,,,
"Q5","Numeric","Q5. How often do you visit this store or restaurant?","{1=Almost every day (5-7 x/week)}{2=A few days per week (2-4 x/week)}{3=About once a week}{4=Occasionally (1-3x per month)}{5=Seldom (less than once a month)}{6=Rarely (a few times a year or less)}{12=Almost every day (5-7 x/week) and a few days per week (2-4 x/week)}{23=A few days per week (2-4 x/week) and about once a week}{34=About once a week and occasionally (1-3x per month)}{36=About once a week and rarely (a few times a year or less)}{46=Occasionally (1-3x per month) and rarely (a few times a year or less)}{236=A few days per week (2-4 x/week), about once a week, and rarely (a few times a year or less)}","No missing values",,,,3,0,"Nominal","Input",,,,,,
"Q6","Numeric","Q6. Yesterday, about how much regular soda did you drink?","{1=I did not drink regular soda yesterday}{2=1 can or less (1 cup=8oz, 1 can=12 oz)}{3=2 cans (about one 20-oz bottle or 2.5 cups)}{4=3 cans (about two 20-oz bottles or 4.5 cups)}{5=4 or more cans (48 oz or more)}{12=I did not drink regular soda yesterday and 1 can or less (1 cup=8oz, 1 can=12 oz)}{13=I did not drink regular soda yesterday and 2 cans (about one 20-oz bottle or 2.5 cups)}{23=1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups)}{34=2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups)}{45=3 cans (about two 20-oz bottles or 4.5 cups) and 4 or more cans (48 oz or more)}{123=I did not drink regular soda yesterday, 1 can or less, and 2 cans}{1345=I did not drink regular soda yesterday, 2 cans, 3 cans, and 4 or more cans}","No missing values",,,,4,0,"Nominal","Input",,,,,,
"Q7","Numeric","Q7. Yesterday, about how much diet soda did you drink?","{1=I did not drink diet soda yesterday}{2=1 can or less (1 cup=8oz, 1 can=12 oz)}{3=2 cans (about one 20-oz bottle or 2.5 cups)}{4=3 cans (about two 20-oz bottles or 4.5 cups)}{5=4 or more cans (48 oz or more)}{12=I did not drink diet soda yesterday and 1 can or less (1 cup=8oz, 1 can=12 oz)}{23=1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups)}{34=2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups)}","No missing values",,,,2,0,"Nominal","Input",,,,,,
"Q8","Numeric","Q8. Yesterday, about how many sports or energy drinks did you drink?","{1=I did not drink sports or energy drinks yesterday}{2=1 can or less (1 cup=8oz, 1 can=12 oz)}{3=2 cans (about one 20-oz bottle or 2.5 cups)}{4=3 cans (about two 20-oz bottles or 4.5 cups)}{5=4 or more cans (48 oz or more)}{12=I did not drink sports or energy drinks yesterday and 1 can or less (1 cup=8oz, 1 can=12 oz)}{13=I did not drink sports or energy drinks yesterday and 2 cans (about one 20-oz bottle or 2.5 cups)}{14=I did not drink sports or energy drinks yesterday and 3 cans (about two 20-oz bottles or 4.5 cups)}{15=I did not drink sports or energy drinks yesterday and 4 or more cans (48 oz or more)}{23=1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups)}{24=1 can or less (1 cup=8oz, 1 can=12 oz) and 3 cans (about two 20-oz bottles or 4.5 cups)}{34=2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups)}{45=3 cans (about two 20-oz bottles or 4.5 cups) and 4 or more cans (48 oz or more)}{1234=I did not drink sports or energy drinks yesterday, 1 can or less, 2 cans, and 3 cans}{12345=All options selected}","No missing values",,,,5,0,"Nominal","Input",,,,,,
