id,sex,age,marital,child,educ,source,smoke,smokenum,op1,op2,op3,op4,op5,op6,mast1,mast2,mast3,mast4,mast5,mast6,mast7,pn1,pn2,pn3,pn4,pn5,pn6,pn7,pn8,pn9,pn10,pn11,pn12,pn13,pn14,pn15,pn16,pn17,pn18,pn19,pn20,lifsat1,lifsat2,lifsat3,lifsat4,lifsat5,pss1,pss2,pss3,pss4,pss5,pss6,pss7,pss8,pss9,pss10,sest1,sest2,sest3,sest4,sest5,sest6,sest7,sest8,sest9,sest10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,Rop2,Rop4,Rop6,Rmast1,Rmast3,Rmast4,Rmast6,Rmast7,Rpss4,Rpss5,Rpss7,Rpss8,Rsest3,Rsest5,Rsest7,Rsest9,Rsest10,Rpc1,Rpc2,Rpc7,Rpc11,Rpc15,Rpc16,toptim,tmast,tposaff,tnegaff,tlifesat,tpstress,tslfest,tmarlow,tpcoiss,agegp3,agegp5,educrec,LG10negaff,MAH_1,COO_1,MAH_2
415.0,2.0,24.0,4.0,1.0,5.0,7.0,2.0,"",3.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,6.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,2.0,4.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,22.0,22.0,49.0,39.0,23.0,29.0,35.0,4.0,51.0,1.0,1.0,4.0,1.6232492903979006,0.9580161998516026,4.534498439556933E-5,18.100643200251625
9.0,1.0,39.0,3.0,1.0,5.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,5.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,7.0,6.0,5.0,7.0,5.0,2.0,2.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,1.0,4.0,1.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,3.0,4.0,3.0,2.0,5.0,1.0,1.0,1.0,5.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,19.0,21.0,35.0,35.0,30.0,22.0,34.0,5.0,40.0,2.0,3.0,4.0,1.5440680443502757,3.6407533262411294,0.015852389363875355,14.48201145513948
425.0,2.0,48.0,4.0,1.0,2.0,4.0,2.0,"",3.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,7.0,7.0,6.0,6.0,1.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,5.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,19.0,19.0,15.0,14.0,33.0,19.0,31.0,8.0,47.0,3.0,4.0,1.0,1.146128035678238,1.3074178665550173,0.014042483113735044,14.214291341178198
307.0,1.0,41.0,5.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,5.0,3.0,5.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,2.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,1.0,7.0,6.0,7.0,7.0,6.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,4.0,26.0,26.0,49.0,36.0,33.0,31.0,40.0,3.0,63.0,2.0,4.0,1.0,1.5563025007672873,1.3141761020558584,0.0054038494713313625,14.169410552887562
440.0,1.0,23.0,1.0,2.0,5.0,1.0,2.0,0.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,18.0,23.0,12.0,11.0,16.0,27.0,21.0,4.0,46.0,1.0,1.0,4.0,1.0413926851582251,2.718887379682592,3.755638492946378E-4,13.702973868063864
484.0,2.0,31.0,4.0,1.0,5.0,7.0,2.0,"",2.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0,2.0,17.0,23.0,14.0,12.0,10.0,21.0,24.0,10.0,43.0,2.0,2.0,4.0,1.0791812460476249,3.754298863662763,0.01351416442949671,13.56550757515101
341.0,2.0,30.0,6.0,2.0,4.0,8.0,2.0,0.0,3.0,5.0,1.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,10.0,9.0,11.0,37.0,5.0,39.0,18.0,3.0,25.0,2.0,2.0,3.0,1.568201724066995,12.651428633253358,0.0023990697465923736,12.523441884183498
300.0,1.0,23.0,2.0,2.0,5.0,1.0,1.0,100.0,4.0,1.0,3.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,2.0,5.0,2.0,5.0,1.0,1.0,4.0,2.0,5.0,5.0,5.0,4.0,6.0,3.0,3.0,5.0,3.0,2.0,5.0,2.0,1.0,2.0,5.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,4.0,25.0,21.0,12.0,38.0,25.0,39.0,34.0,4.0,35.0,1.0,1.0,4.0,1.5797835966168101,5.734723074695083,0.015902160376897446,12.38052410351094
61.0,2.0,18.0,2.0,2.0,2.0,2.0,1.0,40.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,5.0,2.0,1.0,4.0,3.0,2.0,5.0,5.0,2.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,5.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,13.0,12.0,11.0,34.0,8.0,43.0,18.0,5.0,27.0,1.0,1.0,1.0,1.5314789170422551,9.240321691463388,0.008410372338932761,12.27370122565726
24.0,1.0,23.0,1.0,2.0,6.0,"",2.0,0.0,1.0,3.0,1.0,4.0,1.0,5.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,5.0,5.0,2.0,4.0,2.0,2.0,5.0,2.0,3.0,4.0,2.0,2.0,5.0,2.0,5.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,5.0,2.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,5.0,5.0,4.0,5.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,13.0,20.0,39.0,5.0,46.0,23.0,2.0,20.0,1.0,1.0,5.0,1.662757831681574,11.758986231572115,0.02586786482889496,11.608588790758853
