name,type,label,values,missingformat,missingValue1,missingValue2,missingValue3,width,decimals,measurelevel,role,attributes,dw_konstruct,dw_measocc,dw_instrument,dw_itemtext,dw_filtervariable
"SD_Code","Numeric","speed dating code",,"No missing values",,,,8,0,"Nominal","Input",,,,,,
"DG","Numeric","dating group",,"No missing values",,,,8,0,"Nominal","Input",,,,,,
"DG_size","Numeric","dating group size",,"No missing values",,,,8,0,"Ordinal","Input",,,,,,
"DG_size_acq","Numeric","dating group size, corrected for prior acquaintance",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"age","Numeric","age",,"No missing values",,,,3,0,"Metric","Input",,,,,,
"sex","Numeric","sex","{1=female}{2=male}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"height","Numeric","height",,"No missing values",,,,3,0,"Metric","Input",,,,,,
"weight","Numeric","weight",,"No missing values",,,,3,0,"Metric","Input",,,,,,
"relStat","Numeric","relationship status","{1=single}{2=in a relationship}{3=living separately / divorced}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"relStat_other","String","other relationship status",,"No missing values",,,,234,0,"Nominal","Input",,,,,,
"education","Numeric","highest educational attainment","{1=nine years schooling only}{2=professional training}{3=vocational school}{4=university-entrance diploma}{5=academic degree}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"contracept","Numeric","hormonal contraception","{1=yes}{2=no}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"date","Numeric","past experience with speed dating","{1=yes}{2=no}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"NPI_avg","Numeric","narcissistic personality inventory - average",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"SRP_avg","Numeric","self-report psychopathy scale - average",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"MACHIV_avg","Numeric","mach-iv - average",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"BFI_N_avg","Numeric","big five inventory: neuroticism - average",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"BFI_E_avg","Numeric","big five inventory: extraversion - average",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"BFI_O_avg","Numeric","big five inventory: openness - average",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"BFI_A_avg","Numeric","big five inventory: agreeableness - average",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"BFI_C_avg","Numeric","big five inventory: conscientiousness - average",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PA_R1","Numeric","physical attractiveness - rater1(f)",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PA_R2","Numeric","physical attractiveness - rater2(f)",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PA_R3","Numeric","physical attractiveness - rater3(m)",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PA_R4","Numeric","physical attractiveness - rater4(m)",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PA_avg","Numeric","physical attractiveness - average",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"BMI","Numeric","body mass index",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"SOI_R_B_avg","Numeric","sociosexual orientation inventory revised: behavior - average",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"SOI_R_A_avg","Numeric","sociosexual orientation inventory revised: attitude - average",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"SOI_R_D_avg","Numeric","sociosexual orientation inventory revised: desire - average",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"TargEff__choice_relFrequ_acq","Numeric","SRM target effect: actual choice",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"TargEff__FS_avg_acq","Numeric","SRM target effect: friendship",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"TargEff__ONS_avg_acq","Numeric","SRM target effect: one night stand",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"TargEff__BC_avg_acq","Numeric","SRM target effect: booty call",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"TargEff__FWB_avg_acq","Numeric","SRM target effect: friends-with-benefits",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"TargEff__STR_avg_acq","Numeric","SRM target effect: short-term relationship (aggregated)",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"TargEff__LTR_avg_acq","Numeric","SRM target effect: long-term relationship",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"TargEff__PA_avg_acq","Numeric","SRM target effect: physical attractiveness",,"No missing values",,,,8,2,"Metric","Input",,,,,,
