pp,Version,Gender,age,handness,education,profession,hearing,seeing,RT1_CRK,RT1_CRL,RT1_CSK,RT1_CSL,RT1_TSK,RT1_TSL,E1_CRK,E1_CRL,E1_CSK,E1_CSL,E1_TSK,E1_TSL,RT2_CRK,RT2_CRL,RT2_CSK,RT2_CSL,RT2_TSK,RT2_TSL,E2_CRK,E2_CRL,E2_CSK,E2_CSL,E2_TSK,E2_TSL
1,1,1,18,1,5,"student_psychology",0,0,727,557,1120,875,741,813,0.068,0.023,0.106,0.14,0.111,0.089,1363,756,2039,1077,1651,1124,0.067,0.103,0.174,0.089,0.326,0.024
2,2,1,22,1,5,"student_psychology",0,0,511,393,599,488,528,441,0.043,0.021,0.044,0.0,0.064,0.043,1049,427,1148,477,1034,455,0.023,0.043,0.045,0.022,0.065,0.042
3,3,1,18,1,5,"student_psychology",0,0,1083,966,1082,1084,1284,987,0.109,0.149,0.095,0.085,0.111,0.077,3381,2763,3287,2684,3608,3000,0.089,0.174,0.174,0.089,0.093,0.049
4,4,1,19,1,5,"student_psychology",0,0,995,1192,1246,1280,1214,1312,0.021,0.065,0.0,0.128,0.0,0.043,1556,1188,2101,1569,2060,1687,0.125,0.163,0.19,0.15,0.167,0.267
5,1,1,19,1,5,"student_psychology",0,1,504,461,528,423,579,453,0.061,0.021,0.022,0.022,0.0,0.064,1143,493,1198,532,1251,533,0.068,0.044,0.021,0.067,0.085,0.089
6,2,1,19,1,5,"student_psychology",0,0,1373,1493,1576,1661,1648,1502,0.064,0.043,0.043,0.065,0.0,0.021,1753,1298,2066,1583,2289,1421,0.159,0.171,0.175,0.22,0.214,0.152
7,3,1,20,2,5,"student_psychology",0,0,1002,1480,1395,1593,1714,1892,0.136,0.128,0.022,0.0,0.087,0.048,1396,1510,1965,1604,2101,1829,0.07,0.089,0.116,0.175,0.19,0.275
8,4,1,24,1,5,"student_psychology",0,0,1805,2124,1978,2367,2288,2611,0.0,0.021,0.0,0.0,0.021,0.0,2407,2071,2629,2230,3147,2627,0.063,0.0,0.0,0.021,0.043,0.0
9,1,2,21,1,5,"student_psychology",0,0,620,583,817,645,805,627,0.0,0.0,0.022,0.083,0.0,0.085,1198,724,1394,766,1548,815,0.114,0.114,0.048,0.133,0.119,0.089
10,2,2,20,1,5,"student_psychology",0,1,2046,2500,2660,2940,2899,3410,0.02,0.0,0.021,0.0,0.0,0.0,2324,2074,3045,2659,3364,3091,0.091,0.0,0.133,0.047,0.209,0.128
11,3,1,18,1,5,"student_psychology",0,0,461,412,527,419,550,513,0.083,0.0,0.087,0.047,0.064,0.043,814,396,902,438,1064,497,0.128,0.136,0.048,0.085,0.065,0.091
12,4,1,26,1,5,"student_psychology",0,1,431,460,618,487,644,641,0.0,0.047,0.091,0.044,0.17,0.021,805,409,1023,472,970,588,0.114,0.15,0.143,0.146,0.209,0.182
13,1,1,20,1,5,"student_psychology",0,1,853,804,1050,838,910,813,0.021,0.043,0.0,0.064,0.021,0.067,3006,2300,2947,2336,3081,2550,0.043,0.045,0.065,0.043,0.114,0.085
14,2,1,20,1,5,"student_psychology",0,0,1681,2038,1870,2060,2011,2257,0.064,0.068,0.136,0.067,0.022,0.021,1933,1472,2072,1530,2195,1779,0.133,0.0,0.152,0.211,0.119,0.067
15,3,1,20,1,5,"student_psychology",0,0,1876,2440,2043,2381,2887,3281,0.041,0.021,0.021,0.0,0.0,0.0,2193,1966,2285,1884,3211,2850,0.041,0.0,0.021,0.021,0.021,0.021
16,4,1,20,1,5,"student_psychology",0,0,2297,2795,2712,3051,2875,2686,0.0,0.021,0.021,0.085,0.021,0.043,2536,2285,2942,2526,3156,2343,0.022,0.085,0.087,0.0,0.091,0.064
17,1,1,22,2,5,"student_psychology",0,0,952,1384,1221,1528,1004,1475,0.104,0.064,0.048,0.065,0.044,0.07,1339,1032,1670,1243,1478,1203,0.13,0.122,0.135,0.047,0.244,0.14
18,2,1,29,1,5,"student_psychology",0,0,1159,1627,1770,1695,2053,2098,0.0,0.0,0.022,0.021,0.021,0.0,1469,1106,2084,1218,2628,1664,0.042,0.043,0.022,0.0,0.042,0.0
19,3,1,24,1,5,"student_psychology",0,0,1769,2250,1952,2143,2191,2470,0.063,0.022,0.021,0.021,0.022,0.0,2182,2093,2505,2060,3077,2340,0.064,0.071,0.111,0.023,0.182,0.114
20,4,1,18,1,5,"student_psychology",0,0,624,529,665,562,970,553,0.022,0.065,0.0,0.021,0.067,0.043,1168,686,1291,707,1563,724,0.043,0.022,0.109,0.065,0.045,0.043
21,1,1,19,1,5,"student_psychology",0,0,1956,2173,2236,2290,2150,2159,0.042,0.0,0.043,0.043,0.0,0.021,2476,2463,2477,2472,2751,2392,0.209,0.111,0.308,0.159,0.163,0.238
22,2,2,19,1,5,"student_psychology",0,0,1122,1359,1413,1347,1384,1494,0.0,0.0,0.022,0.021,0.043,0.0,1235,775,1527,738,1484,929,0.085,0.045,0.114,0.064,0.045,0.0
23,3,1,20,1,5,"student_psychology",0,0,1035,1234,988,1220,1446,1563,0.083,0.044,0.067,0.068,0.087,0.022,1503,1073,1495,1170,1961,1432,0.152,0.091,0.136,0.163,0.182,0.026
24,4,2,21,1,5,"student_psychology",0,1,1169,1192,1445,1181,1308,1254,0.089,0.022,0.044,0.064,0.068,0.043,1827,1139,2262,1244,2352,1625,0.209,0.14,0.114,0.154,0.186,0.163
