name,type,label,values,missingformat,missingValue1,missingValue2,missingValue3,width,decimals,measurelevel,role,attributes,dw_konstruct,dw_measocc,dw_instrument,dw_itemtext,dw_filtervariable
"id","Numeric","Identification Number",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"sex","Numeric","sex","{0=female}{1=male}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"age","Numeric","age",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"marital","Numeric","marital status","{1=single}{2=married/defacto}{3=divorced}{4=widowed}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"edlevel","Numeric","highest education level achieved","{1=primary school}{2=secondary school}{3=trade training/ post secondary training}{4=undergraduate degree}{5=postgraduate degree}","No missing values",,,,8,0,"Ordinal","Input",,,,,,
"weight","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"height","Numeric",,,"No missing values",,,,8,0,"Metric","Input",,,,,,
"healthrate","Numeric","general health","{1=very poor}{10=very good}","No missing values",,,,8,0,"Metric","Input",,,,,,
"fitrate","Numeric","physical fitness","{1=very poor}{10=very good}","No missing values",,,,8,0,"Metric","Input",,,,,,
"weightrate","Numeric","current weight","{1=very underweight}{10=very overweight}","No missing values",,,,8,0,"Metric","Input",,,,,,
"smoke","Numeric","do you smoke","{1=yes}{2=no}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"smokenum","Numeric","cigs per day",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"alchohol","Numeric","how  many alcoholic drinks per day",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"caffeine","Numeric","how many caffeine drinks per day",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"hourwnit","Numeric","hours sleep/ week nights",,"No missing values",,,,8,1,"Metric","Input",,,,,,
"hourwend","Numeric","hours sleep/ week ends",,"No missing values",,,,8,1,"Metric","Input",,,,,,
"hourneed","Numeric","how many hours sleep needed",,"No missing values",,,,8,1,"Metric","Input",,,,,,
"trubslep","Numeric","trouble falling asleep?","{1=yes}{2=no}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"trubstay","Numeric","trouble staying asleep","{1=yes}{2=no}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"wakenite","Numeric","waking during night","{1=yes}{2=no}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"niteshft","Numeric","work night shift or rotating shifts","{1=yes}{2=no}{3=sometimes}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"liteslp","Numeric","light sleeper?","{1=yes}{2=no}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"refreshd","Numeric","do you feel refreshed weekdays?","{1=yes}{2=no}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"satsleep","Numeric","satisfied with sleep amount","{1=very dissatisfied}{10=very satisfied}","No missing values",,,,8,0,"Metric","Input",,,,,,
"qualslp","Numeric","quality of sleep","{1=very poor}{2=poor}{3=fair}{4=good}{5=very good}{6=excellent}","No missing values",,,,8,0,"Ordinal","Input",,,,,,
"stressmo","Numeric","how stressed over last month?","{1=not at all}{10=extremely stressed}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"medhelp","Numeric","medication  taken to help sleep?","{1=yes}{2=no}","No missing values",,,,8,0,"Nominal","Input",,,,,,
