"name","label","data_type","value_labels","n_missing","complete_rate","n_unique","empty","min","median","max","mean","sd","whitespace","hist","format.spss","display_width"
"CASEID","ICPSR Sequential record identifier","numeric",,0,1,,,"    1"," 1730.5","  3460",1730.5,998.960292837842,,"▇▇▇▇▇","F4.0",
"N1","Store ID","character",,0,1,60,0,"5",,"5",,,0,,"A5","7"
"Q1","Q1. Please enter today's date (mm/dd/yy)","character",,0,1,100,307,"0",,"11",,,0,,"A11","13"
"Q2","Q2. Are you male or female","numeric","1. Male,
2. Female",58,0.983236994219653,,,"    1","    2.0","     2",1.57231040564374,0.494816304903987,,"▆▁▁▁▇","F1.0","4"
"Q3","Q3. What is your age?","numeric",,108,0.96878612716763,,,"   10","   14.0","    17",13.5611575178998,2.34488737036913,,"▇▃▆▅▇","F2.0","4"
"Q4","Q4. How do you describe yourself? (Check all that apply)","numeric","1. Latino/Latina,
2. Black, African American,
3. White,
4. Asian or Asian American,
5. Pacific Islander,
6. American Indian or Alaska Native,
7. Some other race or ethnicity,
12. Latino/Latina and Black, African American,
13. Latino/Latina and White,
23. Black, African American and White,
25. Black, African American and Pacific Islander,
26. Black, African American and American Indian or Alaska Native,
27. Black, African American and some other race or ethnicity,
35. White and Pacific Islander,
36. White and American Indian or Alaska Native,
37. White and some other race or ethnicity,
236. Black, African American, White, and American Indian or Alaska Native,
1236. Latino/Latina, Black, African American, White, and American Indian or Alaska Native,
2367. Black, African American, White, American Indian or Alaska Native, and some other race or ethnicity",19,0.994508670520231,,,"    1","    2.0","  2367",3.45248474280732,45.6923753284468,,"▇▁▁▁▁","F4.0","6"
"Q5","Q5. How often do you visit this store or restaurant?","numeric","1. Almost every day (5-7 x/week),
2. A few days per week (2-4 x/week),
3. About once a week,
4. Occasionally (1-3x per month),
5. Seldom (less than once a month),
6. Rarely (a few times a year or less),
12. Almost every day (5-7 x/week) and a few days per week (2-4 x/week),
23. A few days per week (2-4 x/week) and about once a week,
34. About once a week and occasionally (1-3x per month),
36. About once a week and rarely (a few times a year or less),
46. Occasionally (1-3x per month) and rarely (a few times a year or less),
236. A few days per week (2-4 x/week), about once a week, and rarely (a few times a year or less)",27,0.992196531791907,,,"    1","    3.0","   236",2.83775123798427,4.54441393051942,,"▇▁▁▁▁","F3.0","5"
"Q6","Q6. Yesterday, about how much regular soda did you drink?","numeric","1. I did not drink regular soda yesterday,
2. 1 can or less (1 cup=8oz, 1 can=12 oz),
3. 2 cans (about one 20-oz bottle or 2.5 cups),
4. 3 cans (about two 20-oz bottles or 4.5 cups),
5. 4 or more cans (48 oz or more),
12. I did not drink regular soda yesterday and 1 can or less (1 cup=8oz, 1 can=12 oz),
13. I did not drink regular soda yesterday and 2 cans (about one 20-oz bottle or 2.5 cups),
23. 1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups),
34. 2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups),
45. 3 cans (about two 20-oz bottles or 4.5 cups) and 4 or more cans (48 oz or more),
123. I did not drink regular soda yesterday, 1 can or less, and 2 cans,
1345. I did not drink regular soda yesterday, 2 cans, 3 cans, and 4 or more cans",1052,0.695953757225434,,,"    2","    3.0","  1345",3.55481727574751,27.6583612245031,,"▇▁▁▁▁","F4.0","6"
"Q7","Q7. Yesterday, about how much diet soda did you drink?","numeric","1. I did not drink diet soda yesterday,
2. 1 can or less (1 cup=8oz, 1 can=12 oz),
3. 2 cans (about one 20-oz bottle or 2.5 cups),
4. 3 cans (about two 20-oz bottles or 4.5 cups),
5. 4 or more cans (48 oz or more),
12. I did not drink diet soda yesterday and 1 can or less (1 cup=8oz, 1 can=12 oz),
23. 1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups),
34. 2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups)",2597,0.249421965317919,,,"    2","    2.0","    34",2.95712630359212,2.42507532670171,,"▇▁▁▁▁","F2.0","4"
"Q8","Q8. Yesterday, about how many sports or energy drinks did you drink?","numeric","1. I did not drink sports or energy drinks yesterday,
2. 1 can or less (1 cup=8oz, 1 can=12 oz),
3. 2 cans (about one 20-oz bottle or 2.5 cups),
4. 3 cans (about two 20-oz bottles or 4.5 cups),
5. 4 or more cans (48 oz or more),
12. I did not drink sports or energy drinks yesterday and 1 can or less (1 cup=8oz, 1 can=12 oz),
13. I did not drink sports or energy drinks yesterday and 2 cans (about one 20-oz bottle or 2.5 cups),
14. I did not drink sports or energy drinks yesterday and 3 cans (about two 20-oz bottles or 4.5 cups),
15. I did not drink sports or energy drinks yesterday and 4 or more cans (48 oz or more),
23. 1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups),
24. 1 can or less (1 cup=8oz, 1 can=12 oz) and 3 cans (about two 20-oz bottles or 4.5 cups),
34. 2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups),
45. 3 cans (about two 20-oz bottles or 4.5 cups) and 4 or more cans (48 oz or more),
1234. I did not drink sports or energy drinks yesterday, 1 can or less, 2 cans, and 3 cans,
12345. All options selected",1812,0.476300578034682,,,"    2","    3.0"," 12345",33.8476941747573,608.209164547235,,"▇▁▁▁▁","F5.0","7"
