"name","label","data_type","value_labels","n_missing","complete_rate","n_unique","empty","min","median","max","mean","sd","whitespace","hist","format.spss","display_width"
"SD_Code","speed dating code","numeric",,0,1,,,"101.00"," 1.5e+02","246.00",172.633333333333,52.2639046602632,,"▇▅▁▃▇","F8.0",
"DG","dating group","numeric",,0,1,,,"  1.00"," 2.0e+00","  3.00",2.03333333333333,0.77096175162709,,"▆▁▇▁▆","F8.0",
"DG_size","dating group size","numeric",,0,1,,," 11.00"," 1.5e+01"," 19.00",15.3555555555556,2.88861037743224,,"▃▆▃▁▇","F8.0",
"DG_size_acq","dating group size, corrected for prior acquaintance","numeric",,0,1,,,"  7.00"," 1.4e+01"," 19.00",14.2222222222222,2.93670218533363,,"▁▆▇▆▇","F8.0","11"
"age","age","numeric",,0,1,,," 18.00"," 2.2e+01"," 32.00",22.8666666666667,3.094758163393,,"▅▇▅▂▁","F3.0","5"
"sex","sex","numeric","1. female,
2. male",0,1,,,"  1.00"," 1.0e+00","  2.00",1.48888888888889,0.502676978604527,,"▇▁▁▁▇","F1.0","5"
"height","height","numeric",,0,1,,,"156.00"," 1.7e+02","196.00",174.544444444444,9.26168998473191,,"▃▇▇▃▃","F3.0","5"
"weight","weight","numeric",,0,1,,," 46.00"," 7.0e+01","106.00",68.9111111111111,11.2845170297296,,"▃▇▆▂▁","F3.0","5"
"relStat","relationship status","numeric","1. single,
2. in a relationship,
3. living separately / divorced",1,0.988888888888889,,,"  1.00"," 1.0e+00","  3.00",1.08988764044944,0.324753383291294,,"▇▁▁▁▁","F8.0","10"
"relStat_other","other relationship status","character",,0,1,2,89,"0",,"25",,,0,,"A234","5"
"education","highest educational attainment","numeric","1. nine years schooling only,
2. professional training,
3. vocational school,
4. university-entrance diploma,
5. academic degree",1,0.988888888888889,,,"  4.00"," 4.0e+00","  5.00",4.1685393258427,0.376465471559894,,"▇▁▁▁▂","F1.0","5"
"contracept","hormonal contraception","numeric","1. yes,
2. no",44,0.511111111111111,,,"  1.00"," 2.0e+00","  2.00",1.65217391304348,0.481543412343077,,"▅▁▁▁▇","F1.0","5"
