Variable Information
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Variable             |Position|Label                                                                                                                                    |Measurement Level|Role |Column Width|Alignment|Print Format|Write Format|Missing Values|
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|CASEID               |1       |ICPSR Sequential record identifier                                                                                                       |Scale            |Input|8           |Right    |F4          |F4          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|N1                   |2       |Store ID                                                                                                                                 |Nominal          |Input|7           |Left     |A5          |A5          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q1                   |3       |Q1. Please enter today's date (mm/dd/yy)                                                                                                 |Nominal          |Input|13          |Left     |A11         |A11         |"."           |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q2                   |4       |Q2. Are you male or female                                                                                                               |Nominal          |Input|4           |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q3                   |5       |Q3. What is your age?                                                                                                                    |Scale            |Input|4           |Right    |F2          |F2          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q4                   |6       |Q4. How do you describe yourself? (Check all that apply)                                                                                 |Nominal          |Input|6           |Right    |F4          |F4          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q5                   |7       |Q5. How often do you visit this store or restaurant?                                                                                     |Nominal          |Input|5           |Right    |F3          |F3          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
