pp,Version,Gender,age,handness,education,profession,hearing,seeing,RT1_CRK,RT1_CRL,RT1_CSK,RT1_CSL,RT1_TSK,RT1_TSL,E1_CRK,E1_CRL,E1_CSK,E1_CSL,E1_TSK,E1_TSL,RT2_CRK,RT2_CRL,RT2_CSK,RT2_CSL,RT2_TSK,RT2_TSL,E2_CRK,E2_CRL,E2_CSK,E2_CSL,E2_TSK,E2_TSL
1,1,1,18,1,5,student_psychology,0,0,727,557,1120,875,741,813,.068,.023,.106,.14,.111,.089,1363,756,2039,1077,1651,1124,.067,.103,.174,.089,.326,.024
2,2,1,22,1,5,student_psychology,0,0,511,393,599,488,528,441,.043,.021,.044,0,.064,.043,1049,427,1148,477,1034,455,.023,.043,.045,.022,.065,.042
3,3,1,18,1,5,student_psychology,0,0,1083,966,1082,1084,1284,987,.109,.149,.095,.085,.111,.077,3381,2763,3287,2684,3608,3000,.089,.174,.174,.089,.093,.049
4,4,1,19,1,5,student_psychology,0,0,995,1192,1246,1280,1214,1312,.021,.065,0,.128,0,.043,1556,1188,2101,1569,2060,1687,.125,.163,.19,.15,.167,.267
5,1,1,19,1,5,student_psychology,0,1,504,461,528,423,579,453,.061,.021,.022,.022,0,.064,1143,493,1198,532,1251,533,.068,.044,.021,.067,.085,.089
6,2,1,19,1,5,student_psychology,0,0,1373,1493,1576,1661,1648,1502,.064,.043,.043,.065,0,.021,1753,1298,2066,1583,2289,1421,.159,.171,.175,.22,.214,.152
7,3,1,20,2,5,student_psychology,0,0,1002,1480,1395,1593,1714,1892,.136,.128,.022,0,.087,.048,1396,1510,1965,1604,2101,1829,.07,.089,.116,.175,.19,.275
8,4,1,24,1,5,student_psychology,0,0,1805,2124,1978,2367,2288,2611,0,.021,0,0,.021,0,2407,2071,2629,2230,3147,2627,.063,0,0,.021,.043,0
9,1,2,21,1,5,student_psychology,0,0,620,583,817,645,805,627,0,0,.022,.083,0,.085,1198,724,1394,766,1548,815,.114,.114,.048,.133,.119,.089
10,2,2,20,1,5,student_psychology,0,1,2046,2500,2660,2940,2899,3410,.02,0,.021,0,0,0,2324,2074,3045,2659,3364,3091,.091,0,.133,.047,.209,.128
11,3,1,18,1,5,student_psychology,0,0,461,412,527,419,550,513,.083,0,.087,.047,.064,.043,814,396,902,438,1064,497,.128,.136,.048,.085,.065,.091
12,4,1,26,1,5,student_psychology,0,1,431,460,618,487,644,641,0,.047,.091,.044,.17,.021,805,409,1023,472,970,588,.114,.15,.143,.146,.209,.182
13,1,1,20,1,5,student_psychology,0,1,853,804,1050,838,910,813,.021,.043,0,.064,.021,.067,3006,2300,2947,2336,3081,2550,.043,.045,.065,.043,.114,.085
14,2,1,20,1,5,student_psychology,0,0,1681,2038,1870,2060,2011,2257,.064,.068,.136,.067,.022,.021,1933,1472,2072,1530,2195,1779,.133,0,.152,.211,.119,.067
15,3,1,20,1,5,student_psychology,0,0,1876,2440,2043,2381,2887,3281,.041,.021,.021,0,0,0,2193,1966,2285,1884,3211,2850,.041,0,.021,.021,.021,.021
16,4,1,20,1,5,student_psychology,0,0,2297,2795,2712,3051,2875,2686,0,.021,.021,.085,.021,.043,2536,2285,2942,2526,3156,2343,.022,.085,.087,0,.091,.064
17,1,1,22,2,5,student_psychology,0,0,952,1384,1221,1528,1004,1475,.104,.064,.048,.065,.044,.07,1339,1032,1670,1243,1478,1203,.13,.122,.135,.047,.244,.14
18,2,1,29,1,5,student_psychology,0,0,1159,1627,1770,1695,2053,2098,0,0,.022,.021,.021,0,1469,1106,2084,1218,2628,1664,.042,.043,.022,0,.042,0
19,3,1,24,1,5,student_psychology,0,0,1769,2250,1952,2143,2191,2470,.063,.022,.021,.021,.022,0,2182,2093,2505,2060,3077,2340,.064,.071,.111,.023,.182,.114
20,4,1,18,1,5,student_psychology,0,0,624,529,665,562,970,553,.022,.065,0,.021,.067,.043,1168,686,1291,707,1563,724,.043,.022,.109,.065,.045,.043
21,1,1,19,1,5,student_psychology,0,0,1956,2173,2236,2290,2150,2159,.042,0,.043,.043,0,.021,2476,2463,2477,2472,2751,2392,.209,.111,.308,.159,.163,.238
22,2,2,19,1,5,student_psychology,0,0,1122,1359,1413,1347,1384,1494,0,0,.022,.021,.043,0,1235,775,1527,738,1484,929,.085,.045,.114,.064,.045,0
23,3,1,20,1,5,student_psychology,0,0,1035,1234,988,1220,1446,1563,.083,.044,.067,.068,.087,.022,1503,1073,1495,1170,1961,1432,.152,.091,.136,.163,.182,.026
24,4,2,21,1,5,student_psychology,0,1,1169,1192,1445,1181,1308,1254,.089,.022,.044,.064,.068,.043,1827,1139,2262,1244,2352,1625,.209,.14,.114,.154,.186,.163
