Variable Information
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|Variable  |Position|Label                    |Measurement Level|Role |Column Width|Alignment|Print Format|Write Format|
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|id        |1       |<none>                   |Scale            |Input|8           |Right    |F3          |F3          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|sex       |2       |sex                      |Nominal          |Input|8           |Right    |F3          |F3          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|age       |3       |<none>                   |Scale            |Input|8           |Right    |F3          |F3          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|marital   |4       |marital status           |Nominal          |Input|8           |Right    |F8          |F8          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|child     |5       |child                    |Nominal          |Input|8           |Right    |F5          |F5          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|educ      |6       |highest educ completed   |Ordinal          |Input|8           |Right    |F5          |F5          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|source    |7       |source of stress         |Nominal          |Input|8           |Right    |F8          |F8          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|smoke     |8       |smoker                   |Nominal          |Input|8           |Right    |F8          |F8          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|smokenum  |9       |<none>                   |Scale            |Input|8           |Right    |F8          |F8          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|op1       |10      |<none>                   |Scale            |Input|8           |Right    |F6          |F6          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|op2       |11      |<none>                   |Scale            |Input|8           |Right    |F6          |F6          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|op3       |12      |<none>                   |Scale            |Input|8           |Right    |F6          |F6          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|op4       |13      |<none>                   |Scale            |Input|8           |Right    |F6          |F6          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|op5       |14      |<none>                   |Scale            |Input|8           |Right    |F6          |F6          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|op6       |15      |<none>                   |Scale            |Input|8           |Right    |F6          |F6          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|mast1     |16      |<none>                   |Scale            |Input|8           |Right    |F6          |F6          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|mast2     |17      |<none>                   |Scale            |Input|8           |Right    |F6          |F6          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|mast3     |18      |<none>                   |Scale            |Input|8           |Right    |F6          |F6          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|mast4     |19      |<none>                   |Scale            |Input|8           |Right    |F6          |F6          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
|mast5     |20      |<none>                   |Scale            |Input|8           |Right    |F6          |F6          |
|----------|--------|-------------------------|-----------------|-----|------------|---------|------------|------------|
